# stochastic hunter-prey simulation
# t x y name
0 -87.8942 -14.6517 food
0 0 0 hunter
1 -87.2301 -15.5329 food
2 -1.08562 -1.1511 hunter
3 -88.1058 -16.3371 food
4 -0.390038 -2.67696 hunter
5 -88.9286 -17.128 food
6 -2.83016 -3.29305 hunter
7 -3.20459 -2.753 hunter
8 -89.7612 -17.0966 food
9 -90.3796 -18.5599 food
10 -2.53613 -2.52409 hunter
11 -90.2089 -20.3425 food
12 -90.7635 -20.9828 food
13 -90.9365 -20.6184 food
14 -3.19841 -3.02763 hunter
15 -90.5563 -19.0068 food
16 -3.60618 -4.54306 hunter
17 -89.2589 -20.4162 food
18 -3.2362 -6.01941 hunter
19 -89.6496 -20.9142 food
20 -90.3928 -19.723 food
21 -90.5619 -18.1541 food
22 -89.518 -18.0261 food
23 -90.6727 -17.3537 food
24 -6.03396 -6.56376 hunter
25 -7.5655 -5.41096 hunter
26 -8.74959 -6.08458 hunter
27 -9.90553 -7.80151 hunter
28 -10.0612 -6.77115 hunter
29 -91.6821 -17.6056 food
30 -92.8814 -17.419 food
31 -11.1747 -7.12398 hunter
32 -12.2463 -8.97805 hunter
33 -13.0993 -9.00996 hunter
34 -91.5208 -17.5593 food
35 -12.9058 -9.79081 hunter
36 -15.1328 -9.43608 hunter
37 -16.6362 -8.19509 hunter
38 -91.2772 -17.9027 food
39 -91.3442 -17.8708 food
40 -92.9008 -18.3627 food
41 -19.6912 -8.71175 hunter
42 -19.5331 -7.63301 hunter
43 -94.4836 -19.5847 food
44 -94.1401 -20.5419 food
45 -93.178 -22.1923 food
46 -92.367 -23.3106 food
47 -92.4666 -23.0741 food
48 -18.1072 -7.85943 hunter
49 -92.1204 -22.7144 food
50 -18.3929 -8.24069 hunter
51 -91.8919 -23.2251 food
52 -93.3226 -23.7335 food
53 -92.0556 -23.6206 food
54 -91.1804 -24.9485 food
55 -21.2932 -8.14808 hunter
56 -23.1113 -8.71308 hunter
57 -92.423 -26.8218 food
58 -92.7508 -25.9747 food
59 -90.6998 -27.116 food
60 -91.429 -25.4782 food
61 -24.5352 -8.95848 hunter
62 -25.8101 -8.8105 hunter
63 -92.1028 -25.1063 food
64 -27.634 -6.7034 hunter
65 -92.1269 -23.3868 food
66 -27.9714 -8.22391 hunter
67 -93.8357 -21.6869 food
68 -28.3125 -8.82881 hunter
69 -30.068 -10.0455 hunter
70 -94.9498 -23.0331 food
71 -29.8044 -9.72457 hunter
72 -31.8482 -9.72532 hunter
73 -32.9446 -11.2037 hunter
74 -94.5893 -22.0039 food
75 -93.9663 -19.7763 food
76 -34.0787 -12.1441 hunter
77 -93.0459 -19.7574 food
78 -92.8205 -19.7184 food
79 -92.4746 -19.2957 food
80 -36.2662 -12.5855 hunter
81 -36.0984 -13.8694 hunter
82 -36.9038 -11.2776 hunter
83 -92.2502 -20.2666 food
84 -37.3962 -10.891 hunter
85 -91.47 -19.1534 food
86 -36.5729 -10.5036 hunter
87 -92.4076 -20.3624 food
88 -93.7816 -20.5992 food
89 -93.2961 -21.2344 food
90 -35.4679 -11.005 hunter
91 -35.9191 -12.6429 hunter
92 -35.7853 -12.7813 hunter
93 -92.875 -22.4028 food
94 -35.4203 -14.2705 hunter
95 -94.2605 -23.104 food
96 -35.8744 -13.8611 hunter
97 -95.3085 -21.9426 food
98 -37.4222 -14.1632 hunter
99 -94.6361 -24.5356 food
100 -37.4516 -14.5439 hunter
101 -39.0573 -15.6908 hunter
102 -96.1533 -25.3913 food
103 -96.6945 -26.2173 food
104 -40.102 -15.7321 hunter
105 -95.5288 -25.8529 food
106 -94.136 -26.7797 food
107 -93.898 -25.6192 food
108 -93.7769 -25.9399 food
109 -40.312 -16.2555 hunter
110 -41.948 -16.1869 hunter
111 -94.9032 -26.62 food
112 -43.5593 -17.4422 hunter
113 -94.6565 -26.9332 food
114 -43.6677 -15.0548 hunter
115 -95.3747 -27.5148 food
116 -94.2788 -26.3711 food
117 -94.8246 -25.8175 food
118 -93.2552 -24.4407 food
119 -91.6457 -23.8982 food
120 -44.8478 -16.6433 hunter
121 -46.7549 -14.977 hunter
122 -92.0585 -24.6233 food
123 -91.6327 -24.9219 food
124 -48.2555 -14.4108 hunter
125 -91.0871 -26.2904 food
126 -48.1276 -13.1672 hunter
127 -90.4738 -27.3609 food
128 -48.6025 -14.7894 hunter
129 -49.3784 -15.2465 hunter
130 -90.624 -27.0005 food
131 -92.2353 -26.823 food
132 -49.8335 -15.4761 hunter
133 -92.2551 -28.4609 food
134 -91.4817 -26.6623 food
135 -91.1921 -25.3023 food
136 -90.0156 -26.7961 food
137 -90.2604 -26.0245 food
138 -90.5993 -26.8724 food
139 -91.1365 -27.1498 food
140 -49.6518 -16.6621 hunter
141 -91.3546 -27.1001 food
142 -50.6228 -16.695 hunter
143 -52.5033 -17.3898 hunter
144 -92.6557 -28.3429 food
145 -53.5554 -18.2302 hunter
146 -53.3654 -17.73 hunter
147 -54.6757 -19.0548 hunter
148 -93.3462 -28.5585 food
149 -55.1064 -17.9055 hunter
150 -54.8032 -19.0821 hunter
151 -56.0182 -21.0903 hunter
152 -56.4718 -21.1035 hunter
153 -92.6014 -28.8166 food
154 -92.5228 -28.612 food
155 -92.2447 -28.8575 food
156 -92.9441 -29.0223 food
157 -92.4794 -31.5213 food
158 -57.5766 -21.1826 hunter
159 -92.3317 -30.8602 food
160 -57.9811 -20.0588 hunter
161 -59.8316 -20.4255 hunter
162 -92.2609 -32.0853 food
163 -62.3055 -20.8959 hunter
164 -90.0929 -31.7329 food
165 -63.1753 -21.4128 hunter
166 -90.1577 -32.2714 food
167 -61.3776 -21.6242 hunter
168 -90.7475 -31.1909 food
169 -62.951 -22.5675 hunter
170 -63.842 -21.4482 hunter
171 -90.8086 -31.9157 food
172 -91.5503 -29.6966 food
173 -91.4328 -28.7538 food
174 -66.9829 -21.3443 hunter
175 -67.8406 -19.1515 hunter
176 -91.8926 -28.0336 food
177 -91.9497 -29.0926 food
